Fixtures,,,,,,,,NIF,Collide,,On
ID,NIF #,Textual Name,X,Y,Z,A,Scale,Collide,Radius,Animate,Ground,Flip,Cave,Unique ID,3D Angle,3D Axis X,3D Axis Y,3D Axis Z,Variation,Primary Tint,Secondary Tint,FarDraw,Interior,Keep Status,Mount,Too Steep
11,681,em_tree02_var00 (Instance 17),34663.68,40797.15,6820.66,265,130,2048,0,0,0,0,0,206,1.658063,0.000000,0.000000,1.000000,Name4,0,0,0,0,0,0,0
12,681,em_tree02_var00 (Instance 18),31697.82,38433.50,6565.04,0,100,2048,0,0,0,0,0,207,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
13,681,em_tree02_var00 (Instance 19),33155.03,38880.39,6543.15,0,100,2048,0,0,0,0,0,208,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
14,681,em_tree02_var00 (Instance 20),30582.61,40021.77,6727.98,0,136,2048,0,0,0,0,0,209,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
15,681,em_tree02_var00 (Instance 22),33622.09,43791.78,6926.03,0,100,2048,0,0,0,0,0,211,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
16,681,em_tree02_var00 (Instance 23),29484.19,38551.34,6549.39,0,100,2048,0,0,0,0,0,212,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
17,682,em_tree03_var00 (Instance 35),34391.98,42003.26,7024.00,0,100,2048,0,0,0,0,0,213,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
18,682,em_tree03_var00 (Instance 36),34215.95,39180.51,6411.81,0,132,2048,0,0,0,0,0,214,0.000000,1.000000,0.000000,0.000000,Name6,0,0,0,0,0,0,0
19,682,em_tree03_var00 (Instance 37),32232.13,39188.14,6509.48,0,162,2048,0,0,0,0,0,215,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
20,682,em_tree03_var00 (Instance 38),28998.53,39944.21,6794.05,0,100,2048,0,0,0,0,0,216,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
21,681,em_tree02_var00 (Instance 26),27948.84,40489.80,6962.92,323,100,2048,0,0,0,0,0,263,0.650000,0.000000,0.000000,1.000000,,0,0,0,0,0,0,0
22,690,em_wheatSquare01 (Instance 0),23305.08,49091.10,7417.13,314,100,2048,0,0,1,0,0,264,0.800000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
23,690,em_wheatSquare01 (Instance 1),23502.27,49241.54,7420.81,46,100,2048,0,0,1,0,0,265,0.799991,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
24,690,em_wheatSquare01 (Instance 2),23120.53,49279.28,7402.07,314,100,2048,0,0,1,0,0,266,0.800009,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
25,690,em_wheatSquare01 (Instance 3),23268.01,49440.56,7396.50,220,100,2048,0,0,1,0,0,267,2.450019,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
26,690,em_wheatSquare01 (Instance 4),23677.09,49411.31,7415.64,42,100,2048,0,0,1,0,0,268,0.733157,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
27,690,em_wheatSquare01 (Instance 5),23486.59,49578.85,7394.64,291,100,2048,0,0,1,0,0,269,1.200028,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
28,690,em_wheatSquare01 (Instance 6),22892.11,50179.28,7384.00,317,100,2048,0,0,1,0,0,270,0.750028,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
29,690,em_wheatSquare01 (Instance 15),23827.16,49576.96,7395.85,63,100,2048,0,0,1,0,0,279,1.099963,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
30,690,em_wheatSquare01 (Instance 16),23664.32,49740.23,7387.49,340,100,2048,0,0,1,0,0,280,0.350000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
31,690,em_wheatSquare01 (Instance 17),23483.41,49942.49,7384.00,308,100,2048,0,0,1,0,0,281,0.900037,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
32,690,em_wheatSquare01 (Instance 19),23104.29,50344.68,7384.00,314,100,2048,0,0,1,0,0,283,0.800037,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
33,690,em_wheatSquare01 (Instance 20),24105.07,49299.21,7408.00,126,100,2048,0,0,1,0,0,284,2.200000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
34,690,em_wheatSquare01 (Instance 21),23898.32,49101.80,7420.71,3,100,2048,0,0,1,0,0,285,0.049999,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
35,690,em_wheatSquare01 (Instance 22),23692.93,48898.05,7432.00,140,100,2048,0,0,1,0,0,286,2.450000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
36,690,em_wheatSquare01 (Instance 23),23747.94,48618.63,7432.00,20,100,2048,0,0,1,0,0,287,0.350000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
37,690,em_wheatSquare01 (Instance 24),23989.16,48770.59,7424.00,46,100,2048,0,0,1,0,0,288,0.800000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
38,690,em_wheatSquare01 (Instance 25),24131.15,48954.06,7408.00,248,100,2048,0,0,1,0,0,289,1.950000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
39,690,em_wheatSquare01 (Instance 26),24505.62,48940.35,7408.00,92,100,2048,0,0,1,0,0,290,1.600000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
40,690,em_wheatSquare01 (Instance 27),24698.05,48723.87,7429.52,14,100,2048,0,0,1,0,0,291,0.250000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
41,690,em_wheatSquare01 (Instance 28),24257.81,48703.28,7416.09,17,100,2048,0,0,1,0,0,292,0.300000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
42,690,em_wheatSquare01 (Instance 29),24493.32,48463.51,7430.06,0,100,2048,0,0,1,0,0,293,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
43,690,em_wheatSquare01 (Instance 30),24042.59,48533.27,7432.00,283,100,2048,0,0,1,0,0,294,1.350000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
44,690,em_wheatSquare01 (Instance 31),24211.95,48416.27,7432.00,328,100,2048,0,0,1,0,0,295,0.550000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
45,690,em_wheatSquare01 (Instance 32),24228.49,48166.17,7432.00,100,100,2048,0,0,1,0,0,296,1.750000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
46,690,em_wheatSquare01 (Instance 33),24471.80,48692.25,7417.47,120,100,2048,0,0,1,0,0,297,2.100000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
47,690,em_wheatSquare01 (Instance 34),24032.86,48344.59,7432.00,225,100,2048,0,0,1,0,0,298,2.350000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
48,690,em_wheatSquare01 (Instance 35),24405.33,48302.77,7432.00,308,100,2048,0,0,1,0,0,299,0.900000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
49,690,em_wheatSquare01 (Instance 36),24299.42,49152.56,7408.00,214,100,2048,0,0,1,0,0,300,2.550000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
50,682,em_tree03_var00 (Instance 42),16987.43,26395.55,5316.72,326,92,2048,0,0,0,0,0,342,0.600000,0.000000,0.000000,1.000000,,0,0,0,0,0,0,0
51,682,em_tree03_var00 (Instance 48),14397.98,26081.79,5363.56,0,130,2048,0,0,0,0,0,348,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
52,682,em_tree03_var00 (Instance 58),31149.66,31288.88,6058.56,0,144,2048,0,0,0,0,0,358,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
53,682,em_tree03_var00 (Instance 62),31034.62,33450.42,6289.52,0,100,2048,0,0,0,0,0,362,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
54,682,em_tree03_var00 (Instance 64),32337.59,34939.20,6417.60,320,132,2048,0,0,0,0,0,364,0.700000,0.000000,0.000000,1.000000,Name2,0,0,0,0,0,0,0
55,682,em_tree03_var00 (Instance 65),33622.57,33508.13,6339.48,0,100,2048,0,0,0,0,0,365,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
56,682,em_tree03_var00 (Instance 68),39491.17,31135.87,5789.30,0,100,2048,0,0,0,0,0,368,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
57,682,em_tree03_var00 (Instance 70),43798.62,30768.10,5851.15,0,100,2048,0,0,0,0,0,370,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
58,682,em_tree03_var00 (Instance 74),34760.13,22128.68,5417.58,0,120,2048,0,0,0,0,0,374,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
59,682,em_tree03_var00 (Instance 75),33652.08,23268.07,5424.96,57,74,2048,0,0,0,0,0,375,1.000000,0.000000,0.000000,-1.000000,,0,0,0,0,0,0,0
60,682,em_tree03_var00 (Instance 76),32569.65,23941.14,5464.00,0,100,2048,0,0,0,0,0,376,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
61,682,em_tree03_var00 (Instance 77),34607.23,23081.70,5543.82,0,144,2048,0,0,0,0,0,377,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
62,682,em_tree03_var00 (Instance 78),36371.70,21681.76,5835.15,0,100,2048,0,0,0,0,0,378,0.200000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
63,682,em_tree03_var00 (Instance 79),38723.02,22186.82,5900.88,0,68,2048,0,0,0,0,0,379,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
64,682,em_tree03_var00 (Instance 80),40110.65,21155.04,5689.98,0,100,2048,0,0,0,0,0,380,0.200000,0.000000,1.000000,0.000000,Name2,0,0,0,0,0,0,0
65,682,em_tree03_var00 (Instance 81),37121.70,22763.30,5936.56,0,100,2048,0,0,0,0,0,381,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
66,682,em_tree03_var00 (Instance 82),35839.77,23425.36,5779.25,0,100,2048,0,0,0,0,0,382,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
67,682,em_tree03_var00 (Instance 85),37092.71,26458.15,5608.01,0,100,2048,0,0,0,0,0,385,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
68,682,em_tree03_var00 (Instance 86),41088.96,22494.66,5724.93,0,100,2048,0,0,0,0,0,386,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
69,682,em_tree03_var00 (Instance 88),40942.04,24214.85,5700.60,0,100,2048,0,0,0,0,0,388,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
70,682,em_tree03_var00 (Instance 91),46721.48,20538.25,5392.00,192,100,2048,0,0,0,0,0,391,2.932154,0.000000,0.000000,1.000000,Name2,0,0,0,0,0,0,0
71,682,em_tree03_var00 (Instance 92),46809.86,18556.96,5379.23,0,100,2048,0,0,0,0,0,392,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
72,682,em_tree03_var00 (Instance 94),45267.52,20146.94,5369.44,0,124,2048,0,0,0,0,0,394,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
73,682,em_tree03_var00 (Instance 95),44322.40,22019.73,5394.00,0,100,2048,0,0,0,0,0,395,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
74,682,em_tree03_var00 (Instance 96),42628.47,22778.71,5464.00,0,100,2048,0,0,0,0,0,396,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
75,682,em_tree03_var00 (Instance 99),33625.22,25674.63,5463.00,0,100,2048,0,0,0,0,0,399,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
76,682,em_tree03_var00 (Instance 103),46907.84,17061.70,5370.80,0,100,2048,0,0,0,0,0,403,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
77,682,em_tree03_var00 (Instance 104),43211.71,20000.89,5228.84,0,100,2048,0,0,0,0,0,404,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
78,682,em_tree03_var00 (Instance 105),38898.97,30037.70,5710.76,217,142,2048,0,0,0,0,0,405,2.500000,0.000000,0.000000,1.000000,,0,0,0,0,0,0,0
79,682,em_tree03_var00 (Instance 107),51670.91,9133.58,5074.87,0,100,2048,0,0,0,0,0,407,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
80,682,em_tree03_var00 (Instance 115),56906.80,10907.12,5545.60,0,100,2048,0,0,0,0,0,415,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
81,682,em_tree03_var00 (Instance 118),56843.67,13707.23,6024.42,0,100,2048,0,0,0,0,0,418,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
82,682,em_tree03_var00 (Instance 119),57986.34,11559.55,5695.06,0,100,2048,0,0,0,0,0,419,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
83,682,em_tree03_var00 (Instance 122),57264.24,4624.62,5378.23,0,100,2048,0,0,0,0,0,422,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
84,682,em_tree03_var00 (Instance 123),57034.83,6591.19,5113.43,0,100,2048,0,0,0,0,0,423,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
85,682,em_tree03_var00 (Instance 139),60286.62,16837.86,6400.22,0,100,2048,0,0,0,0,0,439,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
86,682,em_tree03_var00 (Instance 145),54854.45,15008.78,5850.53,294,100,2048,0,0,0,0,0,445,1.150000,0.000000,0.000000,1.000000,Name2,0,0,0,0,0,0,0
87,682,em_tree03_var00 (Instance 146),49062.89,14533.31,5417.99,0,100,2048,0,0,0,0,0,446,0.000000,1.000000,0.000000,0.000000,Name2,0,0,0,0,0,0,0
88,682,em_tree03_var00 (Instance 153),51174.25,18992.43,5824.98,0,100,2048,0,0,0,0,0,453,0.000000,1.000000,0.000000,0.000000,,0,0,0,0,0,0,0
89,690,em_wheatSquare01 (Instance 71),29772.60,43163.63,7035.45,0,100,2048,0,0,1,0,0,570,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
90,690,em_wheatSquare01 (Instance 74),30096.61,44089.67,7039.21,34,100,2048,0,0,1,0,0,573,0.600000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
91,690,em_wheatSquare01 (Instance 75),30225.05,44388.12,7040.00,0,100,2048,0,0,1,0,0,574,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
92,690,em_wheatSquare01 (Instance 76),30358.81,44732.56,7040.00,52,100,2048,0,0,1,0,0,575,0.900000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
93,690,em_wheatSquare01 (Instance 77),30514.87,44564.57,7040.00,317,100,2048,0,0,1,0,0,576,0.750000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
94,690,em_wheatSquare01 (Instance 78),30478.19,44331.49,7029.44,0,100,2048,0,0,1,0,0,577,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
95,690,em_wheatSquare01 (Instance 79),30371.27,44137.63,7024.00,60,100,2048,0,0,1,0,0,578,1.050000,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
96,690,em_wheatSquare01 (Instance 82),30009.28,43124.34,7039.16,0,100,2048,0,0,1,0,0,581,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
97,690,em_wheatSquare01 (Instance 83),30295.53,43190.14,7042.94,0,100,2048,0,0,1,0,0,582,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
98,690,em_wheatSquare01 (Instance 86),30895.10,44151.11,7024.00,323,100,2048,0,0,1,0,0,585,0.650000,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
99,690,em_wheatSquare01 (Instance 87),30887.76,44477.89,7036.71,0,100,2048,0,0,1,0,0,586,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
100,690,em_wheatSquare01 (Instance 88),31163.98,44010.64,7024.00,0,100,2048,0,0,1,0,0,587,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
101,690,em_wheatSquare01 (Instance 91),31060.89,43277.42,7040.00,0,100,2048,0,0,1,0,0,590,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
102,690,em_wheatSquare01 (Instance 92),31344.62,43729.48,7032.00,0,100,2048,0,0,1,0,0,591,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
103,690,em_wheatSquare01 (Instance 93),31383.59,44284.66,7040.00,0,100,2048,0,0,1,0,0,592,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
104,690,em_wheatSquare01 (Instance 118),31372.64,43338.23,7040.00,0,100,2048,0,0,1,0,0,617,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
105,690,em_wheatSquare01 (Instance 119),31548.19,43840.83,7040.00,0,100,2048,0,0,1,0,0,618,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
106,690,em_wheatSquare01 (Instance 120),31049.38,44652.28,7040.00,0,100,2048,0,0,1,0,0,619,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
107,690,em_wheatSquare01 (Instance 121),30555.83,45001.46,7040.00,0,100,2048,0,0,1,0,0,620,0.000000,1.000000,0.000000,0.000000,Name1,0,0,0,0,0,0,0
108,663,em_shrub02_var00 (Instance 2),24990.61,58027.83,9128.00,71,91,2048,0,0,1,0,0,648,1.245246,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
109,663,em_shrub02_var00 (Instance 3),25544.69,57342.45,9098.67,288,109,2048,0,0,1,0,0,649,1.255985,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
110,690,em_wheatSquare01 (Instance 126),23926.11,49448.09,7404.23,199,80,2048,0,0,1,0,0,689,2.813407,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
111,690,em_wheatSquare01 (Instance 127),24302.40,48918.88,7408.00,87,80,2048,0,0,1,0,0,690,1.526549,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
112,690,em_wheatSquare01 (Instance 128),29711.40,43329.78,7040.00,126,80,2048,0,0,1,0,0,691,2.199987,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
113,690,em_wheatSquare01 (Instance 129),29961.35,43329.34,7040.00,281,80,2048,0,0,1,0,0,692,1.386186,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
114,690,em_wheatSquare01 (Instance 130),30262.19,42963.49,7040.00,160,80,2048,0,0,1,0,0,693,2.786177,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
115,690,em_wheatSquare01 (Instance 133),30649.63,42994.60,7040.00,231,80,2048,0,0,1,0,0,696,2.246008,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
116,690,em_wheatSquare01 (Instance 135),31062.65,43054.93,7040.00,356,80,2048,0,0,1,0,0,698,0.074400,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
117,690,em_wheatSquare01 (Instance 136),31235.65,43496.72,7034.91,307,80,2048,0,0,1,0,0,699,0.921951,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
118,690,em_wheatSquare01 (Instance 137),31079.05,43835.25,7024.00,321,80,2048,0,0,1,0,0,700,0.683985,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
119,690,em_wheatSquare01 (Instance 139),30097.45,44244.34,7040.00,69,80,2048,0,0,1,0,0,702,1.206129,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
120,690,em_wheatSquare01 (Instance 141),30243.23,44568.84,7040.00,218,80,2048,0,0,1,0,0,704,2.472233,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
121,690,em_wheatSquare01 (Instance 142),30633.59,44163.88,7024.00,333,80,2048,0,0,1,0,0,705,0.475165,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
122,690,em_wheatSquare01 (Instance 143),30750.21,44330.26,7025.06,128,80,2048,0,0,1,0,0,706,2.228175,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
123,690,em_wheatSquare01 (Instance 144),31128.90,44239.99,7032.00,63,80,2048,0,0,1,0,0,707,1.092036,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
124,690,em_wheatSquare01 (Instance 145),30859.25,44716.13,7040.00,243,80,2048,0,0,1,0,0,708,2.048311,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
125,690,em_wheatSquare01 (Instance 146),31140.87,44449.75,7040.00,2,80,2048,0,0,1,0,0,709,0.036815,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
126,690,em_wheatSquare01 (Instance 147),30833.82,44955.48,7040.00,307,80,2048,0,0,1,0,0,710,0.922526,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
127,690,em_wheatSquare01 (Instance 148),30651.51,44800.63,7040.00,233,80,2048,0,0,1,0,0,711,2.212260,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
128,690,em_wheatSquare01 (Instance 149),31441.73,44004.43,7034.22,96,80,2048,0,0,1,0,0,712,1.681102,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
129,690,em_wheatSquare01 (Instance 151),31598.43,44115.56,7048.00,226,80,2048,0,0,1,0,0,714,2.340926,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
130,690,em_wheatSquare01 (Instance 152),31479.44,43568.99,7048.00,108,80,2048,0,0,1,0,0,715,1.877266,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
131,690,em_wheatSquare01 (Instance 153),31286.39,43163.48,7040.00,186,80,2048,0,0,1,0,0,716,3.032198,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
132,690,em_wheatSquare01 (Instance 154),30866.70,42931.48,7040.00,250,80,2048,0,0,1,0,0,717,1.926164,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
133,690,em_wheatSquare01 (Instance 155),30476.39,42905.49,7040.00,99,80,2048,0,0,1,0,0,718,1.725206,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
134,690,em_wheatSquare01 (Instance 156),30897.48,43077.81,7040.00,313,80,2048,0,0,1,0,0,719,0.823773,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
135,690,em_wheatSquare01 (Instance 157),30735.29,42800.90,7040.00,208,80,2048,0,0,1,0,0,720,2.647924,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
136,690,em_wheatSquare01 (Instance 158),30011.08,42879.75,7040.00,220,80,2048,0,0,1,0,0,721,2.435269,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
137,690,em_wheatSquare01 (Instance 159),30319.72,42732.83,7040.00,333,80,2048,0,0,1,0,0,722,0.464619,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
138,690,em_wheatSquare01 (Instance 161),30167.63,42764.27,7040.00,163,80,2048,0,0,1,0,0,724,2.839102,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
139,690,em_wheatSquare01 (Instance 162),30529.84,42691.77,7040.00,120,80,2048,0,0,1,0,0,725,2.092989,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
140,690,em_wheatSquare01 (Instance 163),29774.68,42969.39,7040.00,263,80,2048,0,0,1,0,0,726,1.698936,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
141,690,em_wheatSquare01 (Instance 164),29635.86,43110.15,7040.00,254,80,2048,0,0,1,0,0,727,1.850805,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
142,690,em_wheatSquare01 (Instance 191),30411.76,45160.55,7040.00,228,80,2048,0,0,1,0,0,754,2.301617,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
143,690,em_wheatSquare01 (Instance 192),30365.69,44983.94,7040.00,358,80,2048,0,0,1,0,0,755,0.027995,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
144,690,em_wheatSquare01 (Instance 194),30627.01,45265.52,7040.00,105,80,2048,0,0,1,0,0,757,1.827602,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
145,690,em_wheatSquare01 (Instance 196),30803.79,45188.25,7040.00,227,80,2048,0,0,1,0,0,759,2.329038,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
146,690,em_wheatSquare01 (Instance 204),23424.09,49769.45,7384.00,11,80,2048,0,0,1,0,0,767,0.199612,0.000000,0.000000,-1.000000,Name1,0,0,0,0,0,0,0
147,690,em_wheatSquare01 (Instance 208),23129.78,50136.29,7384.00,191,80,2048,0,0,1,0,0,771,2.941980,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
148,690,em_wheatSquare01 (Instance 209),23289.62,50245.84,7384.00,275,80,2048,0,0,1,0,0,772,1.480294,0.000000,0.000000,1.000000,Name1,0,0,0,0,0,0,0
